Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Aratoca;6737;;;;;;;;;;;;;;;;;;;;;1,22
Aratoca;6763;;;;;;;;;;;;;0,35;;;;;;;;
Aratoca;6783;;;;;;;;;;;;;;;;;;;;;1,32
Aratoca;6819;;;;;;;;;;;;;;;;;;;;;1,23
Aratoca;6862;;;;;;;;;0,01;;;;;;;;;;;;
Aratoca;6870;;;;;;;;;0,01;;;;;;;;;;;;
Aratoca;6906;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6907;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6924;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6925;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6926;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6927;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6933;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6934;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6935;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6936;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6937;;;;;;;;;;;;;;;2,79;;;;;;
Aratoca;6940;;;;;;;;;;;;;;;;;;;;;1,34
Aratoca;6941;;;;;;;;;;;;;;;;;;;;;1,51
Aratoca;6980;;;;;;;;;;;;;;;;;;;;;1,37
Aratoca;7189;;;;;;;;;;;;;;;;;;;;;1,43
Aratoca;7254;;;;;;;;;;;;;;;;;;;;;1,28
Aratoca;7541;;;;;;;;;;;;;;;;;;;0,62;;
Aratoca;7597;;;;;;;;;;;;;;;;;;;;;1,37
Aratoca;7696;;;;;;;;;;;;;;;;;;;;;1,3
Aratoca;7698;;;;;;;;;;;;;;;;;;;;;1,41
Aratoca;7829;;;;;;1,31;;;;;;;;;;;;;;;
Aratoca;7832;;;;;;;;;;;;;;;;;;;;;1,33
Aratoca;7833;;;;;;;;;;;;;;;;;;;;;1,4
Aratoca;7877;;;;;;;;;;;;;;;;;;;;;1,23
Aratoca;7878;;;;;;;;;;;;;;;;;;;;;1,39
Aratoca;7968;;;;;;;;;;;;;;;;;;;;;1,28
Aratoca;8079;;;;;;;;;;;;;;;;;;;;;1,42
Aratoca;8080;;;;;;;;;;;;;;;;;;;;;1,43
Aratoca;8404;;;;;;;;;;;;;;;;;;;;;1,28
Aratoca;8405;;;;;;;;;;;;;;;;;;;;;1,28
Aratoca;8406;;;;;;;;;;;;;;;;;;;;;1,37
Aratoca;8407;;;;;;;;;;;;;;;;;;;;;1,35
Aratoca;8408;;;;;;;;;;;;;;;;;;;;;1,33
Aratoca;8517;;;;;;;;;;;;;;;;;;;0,62;;
Aratoca;8594;;;;;;;;;;;;;;;;;;;;;1,24
Aratoca;8615;;;;;;;;;;;;;;;;;;;;;1,28
Aratoca;8637;;;;0,4;;;;;;;;;;;;;;;;;
Aratoca;8642;;;;;;;;;;;;;;;;;;;;;1,4
Aratoca;8643;;;;;;;;;;;;;;;;;;;;;1,34
Aratoca;8676;;;;;;;;;;;;;;;;;;;;;1,33
Aratoca;8677;;;;0,4;;;;;;;;;;;;;;;;;
Aratoca;8680;;;;0,4;;;;;;;;;;;;;;;;;
