Municipio;ID;Ahuyama;Arracacha;Arveja verde;Banano;Cebada;Cebolla cabezona;Cebolla larga;Cilantro;Frijol;Habichuela;Lechuga;Lulo;Maiz Blanco;Papas;Papaya;Perejil;Pimenton;Pinna;Platano;Tomate;Yuca
Aratoca;6737;;;;;;;;;;;;;;;;;;;;;122
Aratoca;6763;;;;;;;;;;;;;35;;;;;;;;
Aratoca;6783;;;;;;;;;;;;;;;;;;;;;132
Aratoca;6819;;;;;;;;;;;;;;;;;;;;;123
Aratoca;6862;;;;;;;;;1;;;;;;;;;;;;
Aratoca;6870;;;;;;;;;1;;;;;;;;;;;;
Aratoca;6906;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6907;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6924;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6925;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6926;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6927;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6933;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6934;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6935;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6936;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6937;;;;;;;;;;;;;;;279;;;;;;
Aratoca;6940;;;;;;;;;;;;;;;;;;;;;134
Aratoca;6941;;;;;;;;;;;;;;;;;;;;;151
Aratoca;6980;;;;;;;;;;;;;;;;;;;;;137
Aratoca;7189;;;;;;;;;;;;;;;;;;;;;143
Aratoca;7254;;;;;;;;;;;;;;;;;;;;;128
Aratoca;7541;;;;;;;;;;;;;;;;;;;62;;
Aratoca;7597;;;;;;;;;;;;;;;;;;;;;137
Aratoca;7696;;;;;;;;;;;;;;;;;;;;;130
Aratoca;7698;;;;;;;;;;;;;;;;;;;;;141
Aratoca;7829;;;;;;131;;;;;;;;;;;;;;;
Aratoca;7832;;;;;;;;;;;;;;;;;;;;;133
Aratoca;7833;;;;;;;;;;;;;;;;;;;;;140
Aratoca;7877;;;;;;;;;;;;;;;;;;;;;123
Aratoca;7878;;;;;;;;;;;;;;;;;;;;;139
Aratoca;7968;;;;;;;;;;;;;;;;;;;;;128
Aratoca;8079;;;;;;;;;;;;;;;;;;;;;142
Aratoca;8080;;;;;;;;;;;;;;;;;;;;;143
Aratoca;8404;;;;;;;;;;;;;;;;;;;;;128
Aratoca;8405;;;;;;;;;;;;;;;;;;;;;128
Aratoca;8406;;;;;;;;;;;;;;;;;;;;;137
Aratoca;8407;;;;;;;;;;;;;;;;;;;;;135
Aratoca;8408;;;;;;;;;;;;;;;;;;;;;133
Aratoca;8517;;;;;;;;;;;;;;;;;;;62;;
Aratoca;8594;;;;;;;;;;;;;;;;;;;;;124
Aratoca;8615;;;;;;;;;;;;;;;;;;;;;128
Aratoca;8637;;;;40;;;;;;;;;;;;;;;;;
Aratoca;8642;;;;;;;;;;;;;;;;;;;;;140
Aratoca;8643;;;;;;;;;;;;;;;;;;;;;134
Aratoca;8676;;;;;;;;;;;;;;;;;;;;;133
Aratoca;8677;;;;40;;;;;;;;;;;;;;;;;
Aratoca;8680;;;;40;;;;;;;;;;;;;;;;;
Aratoca;8701;;;;;;;;;;;;;;;;;;;;;140
Aratoca;8711;;;;;;;;;;;;;;;;;;;;;137
Aratoca;8712;;;;;;;;;;;;;;;;;;229;;;
